,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,inst_magnitudes,inst_magnitudes_err,star_id,plx,magnitudes,magnitudes_err
30,31,21.0,2609.0,527338.0375704247,726.1804438643128,380296.73261900863,1767.807159191941,147041.3049514161,1911.146302390597,-12.918598370760089,8.839246350777664e-08,359.0,5.4328,12.293417190096287,0.07300000000005362
0,1,1259.0,1556.0,246556.78519381364,496.5448462914611,89211.90450638013,695.4194122111858,157344.88068743353,854.496894821018,-12.992131543601866,3.451479148220372e-08,218.0,5.3772342033552,9.321801141107505,0.07300000000076289
1,2,443.0,3368.0,329776.3526912315,574.2615716491805,89281.56119729557,820.7141836048978,240494.79149393598,1001.6726630208298,-13.452764187742014,1.7318667378853555e-08,468.0,5.3185976745859,8.861168496967357,0.07300000000075678
2,3,3219.0,3376.0,280047.38265455456,529.1950318360296,89660.75762232505,789.2389440922967,190386.62503222952,950.2344408575495,-13.199091088079019,2.621548499604732e-08,471.0,5.4054698138227,9.114841596630352,0.07300000000075943
3,4,2841.0,1906.0,1621606.8127197518,1273.4232615447131,90853.94115968615,1038.9155241711521,1530752.8715600658,1643.4574133232034,-15.462262707018603,7.013717820494119e-10,539.0,5.3784409046191,6.851669977690769,0.07300000000075474
4,5,2526.0,1758.0,1343284.4570112922,1159.0014870909804,90649.75920017494,985.9440519476725,1252634.6978111174,1521.6340298015482,-15.244561093575275,9.697534590971828e-10,540.0,5.421853012509501,7.069371591134097,0.07300000000075474
5,6,2655.0,2041.0,262248.2086876188,512.1017555134065,89715.58355308771,814.9049015101455,172532.62513453106,962.4542620328369,-13.092178075714173,3.233237739978169e-08,542.0,5.3780214749562,9.221754608995198,0.07300000000076189
0,1,3571.0,268.0,963163.6774160597,981.4090246920101,341935.75178900384,2640.4380289150413,621227.9256270558,2816.926810956875,-14.483127425083111,7.299172431212219e-09,0.0,5.3890364338391,12.750593071901186,0.004527692569125416
1,2,210.0,338.0,420459.5418128404,648.4285171663028,339549.10525535984,1799.9638742430668,80910.43655748054,1913.1987587426981,-12.27001136110693,2.922476324491706e-07,9.0,5.3643876412787,14.963709135877368,0.004527692578551343
2,3,3458.0,392.0,537797.9979181692,733.3471185817683,342039.8009075749,1870.4904281321208,195758.19701059436,2009.1123507823218,-13.229299890962062,5.2428123123796645e-08,17.0,5.4193228558734,14.004420606022235,0.004527692569423075
3,4,4038.0,467.0,341776.6685000945,584.6166854607957,341305.1597716036,2023.9998350691603,471.50872849090956,2106.7396614862396,-6.68372434183687,0.009476138462824227,24.0,5.3701870655123,20.549996155147426,0.010502247386491947
4,5,3372.0,656.0,348168.92419906775,590.0584073720748,341786.6520068507,1920.6027172756176,6382.27219221706,2009.1997714804158,-9.51243830529129,4.932561125711503e-05,47.0,5.4098873660766,17.721282191693007,0.004527961242809629
5,6,3150.0,669.0,343591.59150710783,586.1668635491434,342545.2540953828,5192.117619442018,1046.3374117250205,5225.100665637294,-7.549179384418662,0.004772557333542639,49.0,5.5274038841671,19.684541112565636,0.006578548738316974
6,7,3748.0,699.0,416687.82581121364,645.5136126347119,341613.74071339,1958.0445297441343,75074.08509782364,2061.7046841285596,-12.188725120762703,3.658022403860068e-07,55.0,5.398444417755299,15.044995376221594,0.004527692583896516
7,8,613.0,820.0,345236.55859702814,587.5683445110114,339495.30573994515,1829.1607673889434,5741.252857082989,1921.2146346585848,-9.397516686371969,5.828576984787257e-05,73.0,5.4647587695276,17.83620381061233,0.0045280677149780995
